GUID_IDLE_RESILIENCY_SUBGROUP 0x2E601130, 0x5351, 0x4D9D, 0x8E, 0x04, 0x25, 0x29, 0x66, 0xBA, 0xD0, 0x54
IID_ITransactionOptions 0x3A6AD9E0, 0x23B9, 0x11CF, 0xAD, 0x60, 0x00, 0xAA, 0x00, 0xA7, 0x4C, 0xCD
IID_IADsNetAddress 0xB21A50A9, 0x4080, 0x11D1, 0xA3, 0xAC, 0x00, 0xC0, 0x4F, 0xB9, 0x50, 0xDC
MDSCHEMA_CUBES 0xC8B522D8, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_PROCESSOR_LATENCY_HINT_MIN_UNPARK_1 0x616CDAA5, 0x695E, 0x4545, 0x97, 0xAD, 0x97, 0xDC, 0x2D, 0x1B, 0xDD, 0x89
GUID_PROCESSOR_PERF_BOOST_POLICY 0x45BCC044, 0xD885, 0x43E2, 0x86, 0x05, 0xEE, 0x0E, 0xC6, 0xE9, 0x6B, 0x59
GUID_PROCESSOR_HETERO_DECREASE_THRESHOLD 0xF8861C27, 0x95E7, 0x475C, 0x86, 0x5B, 0x13, 0xC0, 0xCB, 0x3F, 0x9D, 0x6B
GUID_INTSTEER_TIME_UNPARK_TRIGGER 0xD6BA4903, 0x386F, 0x4C2C, 0x8A, 0xDB, 0x5C, 0x21, 0xB3, 0x32, 0x8D, 0x25
GUID_PROCESSOR_PARKING_HEADROOM_THRESHOLD 0xF735A673, 0x2066, 0x4F80, 0xA0, 0xC5, 0xDD, 0xEE, 0x0C, 0xF1, 0xBF, 0x5D
DBSCHEMA_ASSERTIONS 0xC8B52210, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
GUID_VIDEO_ADAPTIVE_DISPLAY_BRIGHTNESS 0xFBD9AA66, 0x9553, 0x4097, 0xBA, 0x44, 0xED, 0x6E, 0x9D, 0x65, 0xEA, 0xB8
GUID_CONSOLE_DISPLAY_STATE 0x6FE69556, 0x704A, 0x47A0, 0x8F, 0x24, 0xC2, 0x8D, 0x93, 0x6F, 0xDA, 0x47
GUID_DISK_ADAPTIVE_POWERDOWN 0x396A32E1, 0x499A, 0x40B2, 0x91, 0x24, 0xA9, 0x6A, 0xFE, 0x70, 0x76, 0x67
DBOBJECT_TRUSTEE 0xC8B522EB, 0x5CF3, 0x11CE, 0xAD, 0xE5, 0x00, 0xAA, 0x00, 0x44, 0x77, 0x3D
